,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,154.51,6256.0,0,396.0,0.0,396.0,0.0632992327365729,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,150.03,6092.0,0,416.0,0.0,416.0,0.06828627708470125,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,145.89,5908.0,0,464.0,0.0,464.0,0.07853757616790792,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,146.78,5892.0,0,524.0,0.0,524.0,0.08893414799728445,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,140.0,6088.0,0,616.0,0.0,616.0,0.1011826544021025,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,154.95,6392.0,0,716.0,0.0,716.0,0.11201501877346684,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,160.77,6948.0,0,828.0,0.0,828.0,0.11917098445595854,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,158.97,7452.0,0,924.0,76.0,924.0,0.13419216317767044,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,157.94,7868.0,0,988.0,140.0,988.0,0.14336553126588714,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,147.01,8056.0,0,992.0,208.0,992.0,0.14895729890764647,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,154.71,8184.0,0,1028.0,300.0,1028.0,0.16226783968719452,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,140.0,8160.0,0,1172.0,352.0,1172.0,0.18676470588235294,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,129.5,7996.0,0,1288.0,352.0,1288.0,0.2051025512756378,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,137.63,7748.0,0,1376.0,296.0,1376.0,0.21579762519359835,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,150.84,7608.0,0,1600.0,208.0,1600.0,0.23764458464773922,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,158.98,7636.0,0,1764.0,124.0,1764.0,0.24724986904138294,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,157.72,7892.0,0,1912.0,64.0,1912.0,0.25038013177901675,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,161.47,8040.0,0,2076.0,0.0,2076.0,0.2582089552238806,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,155.01,7728.0,0,2248.0,0.0,2248.0,0.2908902691511387,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,148.69,7360.0,0,2416.0,0.0,2416.0,0.3282608695652174,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,129.33,6908.0,0,2576.0,0.0,2576.0,0.37290098436595254,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,140.1,6892.0,0,2692.0,0.0,2692.0,0.3905977945443993,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,140.1,6532.0,0,2748.0,0.0,2748.0,0.42069810165339866,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,128.05,6272.0,0,2716.0,0.0,2716.0,0.4330357142857143,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,147.87416666666667,10.282795642814456
2023-02-12 01:00:00+01:00,126.99,6048.0,0,2676.0,0.0,2676.0,0.44246031746031744,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,154.51,,,146.7275,11.018725662134946
2023-02-12 02:00:00+01:00,131.47,5908.0,0,2604.0,0.0,2604.0,0.44075829383886256,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,150.03,,,145.95416666666668,11.420833334655176
