,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,128.67,9101.0,1137.0,952.0,0.0,2089.0,0.2295352159103395,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,150.0,8797.0,1070.0,896.0,0.0,1966.0,0.22348527907241106,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,146.2,8499.0,1017.0,797.0,0.0,1814.0,0.21343687492646193,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,135.6,8457.0,950.0,688.0,0.0,1638.0,0.19368570415040795,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,135.27,8510.0,878.0,609.0,0.0,1487.0,0.17473560517038778,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,142.76,8738.0,808.0,575.0,0.0,1383.0,0.15827420462348363,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,169.19,8989.0,755.0,554.0,0.0,1309.0,0.14562242741128045,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,154.23,9475.0,726.0,523.0,31.0,1249.0,0.13509234828496042,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,171.45,9985.0,708.0,461.0,161.0,1169.0,0.13319979969954931,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,161.34,10238.0,699.0,400.0,321.0,1099.0,0.13869896464153156,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,164.39,10377.0,642.0,351.0,435.0,993.0,0.13761202659728244,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,145.43,10377.0,522.0,299.0,501.0,821.0,0.12739712826443095,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,134.47,10213.0,390.0,247.0,530.0,637.0,0.1142661314011554,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,135.1,10047.0,291.0,195.0,537.0,486.0,0.10182143923559271,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,129.28,9853.0,227.0,143.0,428.0,370.0,0.0809905612503806,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,132.33,9800.0,183.0,106.0,215.0,289.0,0.05142857142857143,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,154.15,10032.0,149.0,106.0,38.0,255.0,0.02920653907496013,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,190.01,10725.0,125.0,130.0,0.0,255.0,0.023776223776223775,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,196.24,10605.0,119.0,138.0,0.0,257.0,0.024233851956624235,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,164.3,10021.0,124.0,126.0,0.0,250.0,0.024947610018960183,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
