,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 02:00:00+02:00,135.72,5328.0,0,97.0,0.0,97.0,0.018205705705705705,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+02:00,133.35,5269.0,0,132.0,0.0,132.0,0.025052192066805846,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+02:00,131.01,5255.0,0,125.0,0.0,125.0,0.023786869647954328,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+02:00,130.44,5298.0,0,107.0,0.0,107.0,0.020196300490751228,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+02:00,145.47,5455.0,0,101.0,0.0,101.0,0.01851512373968836,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+02:00,145.47,5735.0,0,91.0,7.0,91.0,0.017088055797733218,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+02:00,154.59,6304.0,0,93.0,167.0,93.0,0.041243654822335024,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+02:00,155.39,6579.0,0,32.0,387.0,32.0,0.063687490500076,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+02:00,149.81,6346.0,0,11.0,566.0,11.0,0.09092341632524426,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+02:00,145.49,6100.0,0,6.0,676.0,6.0,0.11180327868852459,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+02:00,145.49,5865.0,0,4.0,718.0,4.0,0.12310315430520034,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+02:00,132.78,5712.0,0,1.0,680.0,1.0,0.11922268907563026,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+02:00,129.42,5631.0,0,1.0,564.0,1.0,0.10033741786538804,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+02:00,134.06,5661.0,0,1.0,386.0,1.0,0.06836248012718601,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+02:00,145.49,5897.0,0,5.0,168.0,5.0,0.029336950992029844,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+02:00,157.37,6386.0,0,13.0,9.0,13.0,0.0034450360162856246,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+02:00,159.33,6829.0,0,30.0,0.0,30.0,0.004393029726167814,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+02:00,160.98,6776.0,0,44.0,0.0,44.0,0.006493506493506494,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+02:00,149.81,6476.0,0,45.0,0.0,45.0,0.006948733786287832,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+02:00,145.48,6207.0,0,81.0,0.0,81.0,0.01304978250362494,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+02:00,141.62,6128.0,0,97.0,0.0,97.0,0.015828981723237597,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+02:00,145.47,5823.0,0,104.0,0.0,104.0,0.017860209513996222,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+02:00,139.48,5307.0,0,120.0,0.0,120.0,0.022611644997173545,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 01:00:00+02:00,132.96,5142.0,0,133.0,0.0,133.0,0.025865422014780242,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,143.60333333333332,9.652382299617592
2023-02-12 02:00:00+02:00,127.09,5055.0,0,138.0,0.0,138.0,0.027299703264094956,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,135.72,,,143.24375,10.108789035333041
