,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,152.76,7973.0,0,0.0,0.0,0.0,0.0,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,149.09,8313.0,0,0.0,0.0,0.0,0.0,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,144.81,7629.0,0,0.0,0.0,0.0,0.0,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,143.09,7791.0,0,0.0,0.0,0.0,0.0,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,144.97,8411.0,0,0.0,0.0,0.0,0.0,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,151.75,7898.0,0,0.0,0.0,0.0,0.0,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,160.03,7549.0,0,0.0,1.0,0.0,0.00013246787653993907,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,167.82,7689.0,0,0.0,9.0,0.0,0.0011705033164260631,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,166.81,8062.0,0,0.0,28.0,0.0,0.0034730836020838503,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,154.91,7994.0,0,0.0,48.0,0.0,0.00600450337753315,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,150.0,8059.0,0,0.0,61.0,0.0,0.007569177317285023,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,142.1,7917.0,0,0.0,68.0,0.0,0.0085891120373879,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,136.23,7893.0,0,0.0,67.0,0.0,0.008488534144178385,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,141.95,6408.0,0,0.0,56.0,0.0,0.008739076154806492,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,145.72,7751.0,0,0.0,39.0,0.0,0.0050316088246677845,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,154.72,7418.0,0,0.0,19.0,0.0,0.0025613372876786195,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,159.99,7887.0,0,0.0,3.0,0.0,0.0003803727653100038,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,169.8,8632.0,0,0.0,0.0,0.0,0.0,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,176.24,8470.0,0,0.0,0.0,0.0,0.0,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,167.87,8152.0,0,0.0,0.0,0.0,0.0,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,165.35,7943.0,0,0.0,0.0,0.0,0.0,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,162.55,7889.0,0,0.0,0.0,0.0,0.0,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,157.06,7608.0,0,0.0,0.0,0.0,0.0,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,150.17,7702.0,0,0.0,0.0,0.0,0.0,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,154.82458333333332,10.586756689852905
2023-02-12 01:00:00+01:00,145.29,7027.0,0,0.0,0.0,0.0,0.0,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,152.76,,,154.51333333333332,10.75850994477787
2023-02-12 02:00:00+01:00,141.99,8057.0,0,0.0,0.0,0.0,0.0,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,149.09,,,154.2175,11.008826991970157
2023-02-12 03:00:00+01:00,139.27,7514.0,0,0.0,0.0,0.0,0.0,3,6,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,144.81,,,153.98666666666668,11.269651692726022
2023-02-12 04:00:00+01:00,139.38,7402.0,0,0.0,0.0,0.0,0.0,4,6,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,143.09,,,153.83208333333332,11.449625009681277
2023-02-12 05:00:00+01:00,140.07,7653.0,0,0.0,0.0,0.0,0.0,5,6,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,144.97,,,153.62791666666666,11.656343665357833
2023-02-12 06:00:00+01:00,140.39,7928.0,0,0.0,0.0,0.0,0.0,6,6,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,151.75,,,153.15458333333333,11.962544436032747
2023-02-12 07:00:00+01:00,143.05,8347.0,0,0.0,1.0,0.0,0.00011980352222355337,7,6,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,160.03,,,152.44708333333332,12.040104534851217
2023-02-12 08:00:00+01:00,147.87,7288.0,0,0.0,10.0,0.0,0.0013721185510428102,8,6,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,167.82,,,151.6158333333333,11.61373696240292
2023-02-12 09:00:00+01:00,148.16,7853.0,0,0.0,32.0,0.0,0.004074875843626639,9,6,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,166.81,,,150.83875,11.1682816834493
2023-02-12 10:00:00+01:00,141.14,8057.0,0,0.0,51.0,0.0,0.006329899466302594,10,6,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,154.91,,,150.26500000000001,11.302927669990769
2023-02-12 11:00:00+01:00,137.23,7794.0,0,0.0,62.0,0.0,0.007954837054144213,11,6,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,150.0,,,149.73291666666668,11.612284155027417
2023-02-12 12:00:00+01:00,130.73,7349.0,0,0.0,64.0,0.0,0.008708667845965438,12,6,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,142.1,,,149.2591666666667,12.156410338534968
2023-02-12 13:00:00+01:00,122.55,7433.0,0,0.0,55.0,0.0,0.007399434952240011,13,6,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,136.23,,,148.68916666666667,13.079562523154229
2023-02-12 14:00:00+01:00,124.62,7879.0,0,0.0,47.0,0.0,0.005965224013199644,14,6,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,141.95,,,147.9670833333333,13.919205836655602
2023-02-12 15:00:00+01:00,132.09,7278.0,0,0.0,33.0,0.0,0.004534212695795548,15,6,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,145.72,,,147.39916666666667,14.288046666225258
2023-02-12 16:00:00+01:00,139.93,7339.0,0,0.0,14.0,0.0,0.0019076168415315439,16,6,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,154.72,,,146.78291666666667,14.277513326043895
2023-02-12 17:00:00+01:00,157.19,7734.0,0,0.0,3.0,0.0,0.0003878975950349108,17,6,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,159.99,,,146.66625,14.175980239858838
2023-02-12 18:00:00+01:00,174.97,7989.0,0,0.0,0.0,0.0,0.0,18,6,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,169.8,,,146.88166666666666,14.576427864033116
2023-02-12 19:00:00+01:00,172.86,8091.0,0,0.0,0.0,0.0,0.0,19,6,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,176.24,,,146.74083333333334,14.294036128420075
2023-02-12 20:00:00+01:00,169.19,7447.0,0,0.0,0.0,0.0,0.0,20,6,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,167.87,,,146.79583333333332,14.381144937387411
2023-02-12 21:00:00+01:00,160.56,7776.0,0,0.0,0.0,0.0,0.0,21,6,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,165.35,,,146.59625000000003,14.143730770510809
