,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,136.86,4935.0,0,25.0,0.0,25.0,0.005065856129685917,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,134.19,4846.0,0,24.0,0.0,24.0,0.004952538175815105,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,131.91,4601.0,0,26.0,0.0,26.0,0.005650945446642034,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,131.27,4540.0,0,27.0,0.0,27.0,0.005947136563876652,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,146.57,4588.0,0,26.0,0.0,26.0,0.005666957279860506,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,146.11,4748.0,0,24.0,0.0,24.0,0.005054759898904802,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,156.03,4974.0,0,22.0,42.0,22.0,0.012866907921190189,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,157.13,5248.0,0,23.0,333.0,23.0,0.06783536585365854,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,154.81,5257.0,0,23.0,797.0,23.0,0.1559824995244436,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,146.32,5171.0,0,18.0,1110.0,18.0,0.21813962483078708,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,146.43,5104.0,0,14.0,1257.0,14.0,0.2490203761755486,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,133.25,4997.0,0,14.0,1318.0,14.0,0.26655993596157695,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,129.9,4937.0,0,18.0,1236.0,18.0,0.2540004051043144,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,134.91,4970.0,0,25.0,996.0,25.0,0.20543259557344065,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,146.64,5072.0,0,38.0,575.0,38.0,0.1208596214511041,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,158.95,5421.0,0,54.0,161.0,54.0,0.039660579228924554,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,160.15,5732.0,0,73.0,15.0,73.0,0.015352407536636426,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,161.43,5809.0,0,91.0,0.0,91.0,0.015665346875537958,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,149.34,5802.0,0,111.0,0.0,111.0,0.019131334022750777,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,145.22,5664.0,0,121.0,0.0,121.0,0.021362994350282487,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,140.56,5515.0,0,130.0,0.0,130.0,0.02357207615593835,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,145.0,5247.0,0,144.0,0.0,144.0,0.0274442538593482,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,139.38,5008.0,0,159.0,0.0,159.0,0.031749201277955275,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,132.41,4706.0,0,172.0,0.0,172.0,0.03654908627284318,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,144.36541666666668,9.998174606947739
2023-02-12 01:00:00+01:00,126.96,4371.0,0,171.0,0.0,171.0,0.03912148249828414,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,136.86,,,143.95291666666665,10.512298999439812
2023-02-12 02:00:00+01:00,131.86,4289.0,0,166.0,0.0,166.0,0.038703660526929355,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,134.19,,,143.85583333333332,10.616623108685932
2023-02-12 03:00:00+01:00,128.0,4163.0,0,167.0,0.0,167.0,0.04011530146528945,3,6,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,131.91,,,143.69291666666666,10.835648283876887
2023-02-12 04:00:00+01:00,126.97,4089.0,0,170.0,0.0,170.0,0.04157495720224994,4,6,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,131.27,,,143.51375,11.082724438433944
2023-02-12 05:00:00+01:00,126.76,4126.0,0,175.0,0.0,175.0,0.04241396025206011,5,6,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,146.57,,,142.68833333333333,11.57210276133256
2023-02-12 06:00:00+01:00,130.23,4313.0,0,175.0,0.0,175.0,0.0405750057964294,6,6,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,146.11,,,142.02666666666667,11.819304278306253
2023-02-12 07:00:00+01:00,132.75,4509.0,0,173.0,25.0,173.0,0.043912175648702596,7,6,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,156.03,,,141.05666666666667,11.572810213249163
2023-02-12 08:00:00+01:00,149.4,4840.0,0,165.0,220.0,165.0,0.07954545454545454,8,6,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,157.13,,,140.73458333333332,11.207834984341623
2023-02-12 09:00:00+01:00,145.45,4964.0,0,144.0,622.0,144.0,0.15431103948428687,9,6,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,154.81,,,140.34458333333333,10.854022287559607
2023-02-12 10:00:00+01:00,145.56,4957.0,0,131.0,975.0,131.0,0.22311882186806536,10,6,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,146.32,,,140.31291666666667,10.836926196300226
2023-02-12 11:00:00+01:00,140.07,4976.0,0,133.0,1189.0,133.0,0.26567524115755625,11,6,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,146.43,,,140.04791666666668,10.758315683255434
2023-02-12 12:00:00+01:00,129.89,4975.0,0,132.0,1262.0,132.0,0.2802010050251256,12,6,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,133.25,,,139.90791666666667,10.871887152358754
2023-02-12 13:00:00+01:00,120.0,4893.0,0,126.0,1187.0,126.0,0.26834253014510523,13,6,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,129.9,,,139.49541666666667,11.441031034097781
2023-02-12 14:00:00+01:00,120.0,4835.0,0,108.0,965.0,108.0,0.221923474663909,14,6,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,134.91,,,138.87416666666667,12.087395129410343
2023-02-12 15:00:00+01:00,124.63,4921.0,0,88.0,588.0,88.0,0.13737045315992685,15,6,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,146.64,,,137.95708333333334,12.305567661469937
2023-02-12 16:00:00+01:00,135.16,5169.0,0,73.0,184.0,73.0,0.049719481524472815,16,6,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,158.95,,,136.96583333333334,11.47087082728387
2023-02-12 17:00:00+01:00,158.54,5438.0,0,66.0,13.0,66.0,0.014527399779330636,17,6,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,160.15,,,136.89875,11.333273947521318
2023-02-12 18:00:00+01:00,168.93,5626.0,0,61.0,0.0,61.0,0.010842516885886954,18,6,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,161.43,,,137.21124999999998,12.115506166640884
2023-02-12 19:00:00+01:00,170.43,5666.0,0,52.0,0.0,52.0,0.009177550300035298,19,6,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,149.34,,,138.09,13.695305765115295
2023-02-12 20:00:00+01:00,161.53,5548.0,0,46.0,0.0,46.0,0.00829127613554434,20,6,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,145.22,,,138.76958333333332,14.448446427442187
2023-02-12 21:00:00+01:00,150.09,5385.0,0,38.0,0.0,38.0,0.007056638811513464,21,6,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,140.56,,,139.16666666666666,14.629611028341795
2023-02-12 22:00:00+01:00,156.17,5067.0,0,27.0,0.0,27.0,0.0053285968028419185,22,6,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,145.0,,,139.63208333333333,14.996338387627564
2023-02-12 23:00:00+01:00,144.56,4842.0,0,18.0,0.0,18.0,0.0037174721189591076,23,6,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,139.38,,,139.84791666666666,15.029791568795938
2023-02-13 00:00:00+01:00,139.97,4537.0,0,26.0,0.0,26.0,0.0057306590257879654,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,132.41,,,140.16291666666666,14.946116982759065
2023-02-13 01:00:00+01:00,133.1,4377.0,0,22.0,0.0,22.0,0.005026273703449852,1,0,2,0,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,126.96,136.86,,140.41875000000002,14.76170789945038
2023-02-13 02:00:00+01:00,132.52,4280.0,0,20.0,0.0,20.0,0.004672897196261682,2,0,2,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,131.86,134.19,,140.44625,14.745676392848475
2023-02-13 03:00:00+01:00,129.04,4202.0,0,18.0,0.0,18.0,0.004283674440742504,3,0,2,0,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,128.0,131.91,,140.48958333333334,14.708992658786393
2023-02-13 04:00:00+01:00,132.17,4216.0,0,14.0,0.0,14.0,0.003320683111954459,4,0,2,0,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,126.97,131.27,,140.70624999999998,14.538498161926766
2023-02-13 05:00:00+01:00,137.47,4487.0,0,10.0,0.0,10.0,0.0022286605749944283,5,0,2,0,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,126.76,146.57,,141.1525,14.253387774261892
2023-02-13 06:00:00+01:00,163.19,5223.0,0,8.0,0.0,8.0,0.0015316867700555237,6,0,2,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,130.23,146.11,,142.52583333333334,14.734968439991183
2023-02-13 07:00:00+01:00,196.08,5859.0,0,9.0,49.0,9.0,0.009899300221880868,7,0,2,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,132.75,156.03,,145.16458333333333,18.17680509047454
2023-02-13 08:00:00+01:00,225.54,5880.0,0,9.0,408.0,9.0,0.07091836734693878,8,0,2,0,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,149.4,157.13,,148.33708333333334,24.494745040547958
