,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,154.51,580.0,0,315.0,0.0,315.0,0.5431034482758621,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,151.87,547.0,0,299.0,0.0,299.0,0.546617915904936,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,152.9,537.0,0,281.0,0.0,281.0,0.5232774674115456,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,154.68,475.0,0,261.0,0.0,261.0,0.5494736842105263,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,154.76,505.0,0,236.0,0.0,236.0,0.46732673267326735,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,162.48,582.0,0,211.0,0.0,211.0,0.36254295532646047,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,180.54,610.0,0,189.0,13.0,189.0,0.33114754098360655,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,180.85,640.0,0,172.0,64.0,172.0,0.36875,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,165.06,702.0,0,167.0,120.0,167.0,0.40883190883190884,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,155.0,700.0,0,170.0,159.0,170.0,0.47,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,149.91,792.0,0,161.0,182.0,161.0,0.43308080808080807,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,135.43,820.0,0,153.0,187.0,153.0,0.4146341463414634,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
