,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,154.51,2272.0,0,41.0,0.0,41.0,0.018045774647887324,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,151.87,2198.0,0,34.0,0.0,34.0,0.015468607825295723,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,152.9,2178.0,0,30.0,0.0,30.0,0.013774104683195593,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,154.68,2162.0,0,27.0,0.0,27.0,0.012488436632747455,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,154.76,2189.0,0,24.0,0.0,24.0,0.0109639104613979,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,162.48,2422.0,0,19.0,0.0,19.0,0.007844756399669695,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,180.54,2597.0,0,14.0,25.0,14.0,0.015017327685791297,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,180.85,3032.0,0,9.0,221.0,9.0,0.0758575197889182,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,165.06,3369.0,0,5.0,470.0,5.0,0.14099139210448206,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,155.0,3253.0,0,3.0,662.0,3.0,0.20442668306178913,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,149.91,3270.0,0,3.0,801.0,3.0,0.24587155963302754,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,135.43,3051.0,0,3.0,829.0,3.0,0.27269747623729923,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,130.16,2827.0,0,4.0,805.0,4.0,0.2861690838344535,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,135.1,2697.0,0,4.0,663.0,4.0,0.24731182795698925,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,149.8,2547.0,0,5.0,474.0,5.0,0.18806438947781703,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,162.48,2492.0,0,7.0,236.0,7.0,0.09751203852327447,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,200.33,2689.0,0,8.0,31.0,8.0,0.014503532911863145,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,245.0,3029.0,0,9.0,0.0,9.0,0.0029712776493892373,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,270.0,3175.0,0,9.0,0.0,9.0,0.0028346456692913387,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,229.99,2997.0,0,8.0,0.0,8.0,0.002669336002669336,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,189.11,2784.0,0,8.0,0.0,8.0,0.0028735632183908046,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,163.75,2601.0,0,7.0,0.0,7.0,0.002691272587466359,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,161.43,2415.0,0,7.0,0.0,7.0,0.002898550724637681,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,160.03,2098.0,0,6.0,0.0,6.0,0.002859866539561487,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,170.63208333333333,34.54204419559077
2023-02-12 01:00:00+01:00,154.0,1959.0,0,6.0,0.0,6.0,0.0030627871362940277,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,154.51,,,170.61083333333332,34.552548879322515
2023-02-12 02:00:00+01:00,151.93,1861.0,0,7.0,0.0,7.0,0.0037614185921547557,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,151.87,,,170.61333333333332,34.5511360999476
2023-02-12 03:00:00+01:00,150.3,1800.0,0,9.0,0.0,9.0,0.005,3,6,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,152.9,,,170.505,34.61311060981023
2023-02-12 04:00:00+01:00,150.3,1818.0,0,9.0,0.0,9.0,0.0049504950495049506,4,6,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,154.68,,,170.32250000000002,34.7115836134931
2023-02-12 05:00:00+01:00,150.13,1847.0,0,9.0,0.0,9.0,0.004872766648619383,5,6,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,154.76,,,170.12958333333333,34.814549242368145
2023-02-12 06:00:00+01:00,150.2,1966.0,0,10.0,0.0,10.0,0.00508646998982706,6,6,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,162.48,,,169.61791666666667,35.02148669393725
2023-02-12 07:00:00+01:00,150.3,1998.0,0,11.0,24.0,11.0,0.017517517517517518,7,6,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,180.54,,,168.35791666666668,35.15517884777208
2023-02-12 08:00:00+01:00,150.12,2083.0,0,11.0,201.0,11.0,0.10177628420547287,8,6,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,180.85,,,167.07750000000001,35.239931679596225
2023-02-12 09:00:00+01:00,150.33,2237.0,0,11.0,408.0,11.0,0.18730442556995977,9,6,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,165.06,,,166.46375,35.40448384923067
2023-02-12 10:00:00+01:00,145.56,2214.0,0,10.0,582.0,10.0,0.26738934056007224,10,6,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,155.0,,,166.07041666666666,35.58933529549776
2023-02-12 11:00:00+01:00,140.07,2392.0,0,10.0,734.0,10.0,0.3110367892976589,11,6,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,149.91,,,165.6604166666667,35.83940404676864
2023-02-12 12:00:00+01:00,129.89,2392.0,0,12.0,765.0,12.0,0.3248327759197324,12,6,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,135.43,,,165.42958333333334,36.05974034476517
2023-02-12 13:00:00+01:00,120.0,2338.0,0,13.0,731.0,13.0,0.31822070145423437,13,6,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,130.16,,,165.00625,36.5481306025832
2023-02-12 14:00:00+01:00,120.0,2310.0,0,13.0,625.0,13.0,0.2761904761904762,14,6,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,135.1,,,164.37708333333333,37.209333153550126
2023-02-12 15:00:00+01:00,135.0,2341.0,0,14.0,415.0,14.0,0.18325501922255447,15,6,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,149.8,,,163.76041666666666,37.58219276282744
2023-02-12 16:00:00+01:00,150.0,2279.0,0,16.0,206.0,16.0,0.09741114523913998,16,6,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,162.48,,,163.24041666666668,37.68687229390497
2023-02-12 17:00:00+01:00,160.03,2351.0,0,19.0,29.0,19.0,0.020416843896214378,17,6,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,200.33,,,161.56125,36.85099671975143
2023-02-12 18:00:00+01:00,175.1,2721.0,0,24.0,0.0,24.0,0.008820286659316428,18,6,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,245.0,,,158.64874999999998,32.471791144140724
2023-02-12 19:00:00+01:00,189.0,2871.0,0,30.0,0.0,30.0,0.01044932079414838,19,6,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,270.0,,,155.27374999999998,23.312917265178204
2023-02-12 20:00:00+01:00,170.0,2874.0,0,36.0,0.0,36.0,0.012526096033402923,20,6,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,229.99,,,152.77416666666667,17.426507773745325
2023-02-12 21:00:00+01:00,160.99,2663.0,0,40.0,0.0,40.0,0.015020653398422831,21,6,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,189.11,,,151.6025,15.741074558646561
2023-02-12 22:00:00+01:00,157.32,2401.0,0,44.0,0.0,44.0,0.018325697625989172,22,6,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,163.75,,,151.33458333333334,15.579219989171953
2023-02-12 23:00:00+01:00,147.57,2134.0,0,46.0,0.0,46.0,0.02155576382380506,23,6,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,161.43,,,150.75708333333333,15.4450339504931
2023-02-13 00:00:00+01:00,145.74,2026.0,0,41.0,0.0,41.0,0.020236920039486673,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,160.03,,,150.16166666666666,15.347148628148915
2023-02-13 01:00:00+01:00,145.22,1945.0,0,42.0,0.0,42.0,0.021593830334190232,1,0,2,0,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,154.0,154.51,,149.79583333333332,15.356318036013345
2023-02-13 02:00:00+01:00,145.96,1917.0,0,44.0,0.0,44.0,0.022952529994783515,2,0,2,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,151.93,151.87,,149.54708333333335,15.368592331558006
