,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,154.51,15847.0,0,18.0,0.0,18.0,0.0011358616772890768,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,151.87,15216.0,0,19.0,0.0,19.0,0.0012486855941114617,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,152.9,14954.0,0,18.0,0.0,18.0,0.0012036913200481477,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,154.68,15041.0,0,16.0,0.0,16.0,0.0010637590585732331,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,154.76,15483.0,0,15.0,0.0,15.0,0.000968804495252858,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,162.48,17239.0,0,13.0,0.0,13.0,0.0007541040663611578,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,180.54,18950.0,0,12.0,30.0,12.0,0.0022163588390501318,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,180.85,20584.0,0,11.0,615.0,11.0,0.030411970462495143,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,165.06,20785.0,0,11.0,1525.0,11.0,0.073899446716382,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,155.0,19903.0,0,9.0,2311.0,9.0,0.11656534190825504,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,149.91,18980.0,0,9.0,2746.0,9.0,0.1451527924130664,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,135.43,18437.0,0,9.0,2932.0,9.0,0.15951619026956662,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,130.16,17097.0,0,10.0,2834.0,10.0,0.166344972802246,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,135.1,16825.0,0,10.0,2455.0,10.0,0.14650817236255573,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,149.8,17070.0,0,10.0,1729.0,10.0,0.1018746338605741,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,162.48,17767.0,0,12.0,831.0,12.0,0.047447515056002705,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,200.33,18519.0,0,13.0,115.0,13.0,0.006911820292672391,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,245.0,20079.0,0,12.0,0.0,12.0,0.0005976393246675631,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,270.0,20430.0,0,10.0,0.0,10.0,0.0004894762604013706,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,229.99,18964.0,0,10.0,0.0,10.0,0.0005273149124657245,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,189.11,17689.0,0,11.0,0.0,11.0,0.0006218553903555882,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,163.75,16158.0,0,12.0,0.0,12.0,0.0007426661715558856,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,161.43,14976.0,0,13.0,0.0,13.0,0.0008680555555555555,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,160.03,13450.0,0,11.0,0.0,11.0,0.0008178438661710037,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,170.63208333333333,34.54204419559077
2023-02-12 01:00:00+01:00,154.0,12902.0,0,11.0,0.0,11.0,0.0008525809951945434,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,154.51,,,170.61083333333332,34.552548879322515
2023-02-12 02:00:00+01:00,151.93,12331.0,0,12.0,0.0,12.0,0.0009731570837726056,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,151.87,,,170.61333333333332,34.5511360999476
2023-02-12 03:00:00+01:00,150.3,12058.0,0,13.0,0.0,13.0,0.0010781224083595952,3,6,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,152.9,,,170.505,34.61311060981023
2023-02-12 04:00:00+01:00,150.3,12482.0,0,13.0,0.0,13.0,0.0010414997596539016,4,6,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,154.68,,,170.32250000000002,34.7115836134931
2023-02-12 05:00:00+01:00,150.13,12841.0,0,12.0,0.0,12.0,0.0009345066583599408,5,6,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,154.76,,,170.12958333333333,34.814549242368145
2023-02-12 06:00:00+01:00,150.2,13442.0,0,11.0,0.0,11.0,0.0008183306055646482,6,6,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,162.48,,,169.61791666666667,35.02148669393725
2023-02-12 07:00:00+01:00,150.3,13850.0,0,11.0,27.0,11.0,0.002743682310469314,7,6,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,180.54,,,168.35791666666668,35.15517884777208
