,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,154.51,1744.0,0,1442.0,0.0,1442.0,0.8268348623853211,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,151.87,1617.0,0,1396.0,0.0,1396.0,0.8633271490414347,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,152.9,1574.0,0,1344.0,0.0,1344.0,0.8538754764930114,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,154.68,1619.0,0,1304.0,0.0,1304.0,0.8054354539839407,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,154.76,1670.0,0,1278.0,0.0,1278.0,0.7652694610778443,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,162.48,1791.0,0,1187.0,0.0,1187.0,0.6627582356225572,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,180.54,2138.0,0,1047.0,206.0,1047.0,0.5860617399438728,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,180.85,2443.0,0,875.0,796.0,875.0,0.6839950880065493,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,165.06,2503.0,0,680.0,1331.0,680.0,0.8034358769476628,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,155.0,2704.0,0,566.0,1738.0,566.0,0.8520710059171598,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,149.91,2572.0,0,541.0,1943.0,541.0,0.9657853810264385,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,135.43,2495.0,0,567.0,1925.0,567.0,0.9987975951903808,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,130.16,2398.0,0,617.0,1820.0,617.0,1.0162635529608006,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,135.1,2351.0,0,669.0,1588.0,669.0,0.9600170140365801,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 15:00:00+01:00,149.8,2391.0,0,668.0,1054.0,668.0,0.7202007528230866,15,5,2,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 16:00:00+01:00,162.48,2497.0,0,611.0,431.0,611.0,0.4173007609130957,16,5,2,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 17:00:00+01:00,200.33,2774.0,0,578.0,19.0,578.0,0.21521268925739004,17,5,2,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 18:00:00+01:00,245.0,2699.0,0,561.0,0.0,561.0,0.20785476102260098,18,5,2,1,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 19:00:00+01:00,270.0,2767.0,0,553.0,0.0,553.0,0.19985543910372244,19,5,2,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 20:00:00+01:00,229.99,2758.0,0,572.0,0.0,572.0,0.20739666424945613,20,5,2,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 21:00:00+01:00,189.11,2468.0,0,595.0,0.0,595.0,0.24108589951377635,21,5,2,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 22:00:00+01:00,163.75,2200.0,0,628.0,0.0,628.0,0.28545454545454546,22,5,2,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 23:00:00+01:00,161.43,2028.0,0,684.0,0.0,684.0,0.33727810650887574,23,5,2,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,,,,,
2023-02-12 00:00:00+01:00,160.03,1874.0,0,708.0,0.0,708.0,0.37780149413020275,0,6,2,1,0.0,1.0,0.8660254037844386,0.5000000000000001,,,,170.63208333333333,34.54204419559077
2023-02-12 01:00:00+01:00,154.0,1700.0,0,809.0,0.0,809.0,0.4758823529411765,1,6,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,154.51,,,170.61083333333332,34.552548879322515
2023-02-12 02:00:00+01:00,151.93,1582.0,0,923.0,0.0,923.0,0.5834386852085968,2,6,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,151.87,,,170.61333333333332,34.5511360999476
2023-02-12 03:00:00+01:00,150.3,1553.0,0,1011.0,0.0,1011.0,0.6509980682549903,3,6,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,152.9,,,170.505,34.61311060981023
2023-02-12 04:00:00+01:00,150.3,1588.0,0,1110.0,0.0,1110.0,0.698992443324937,4,6,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,154.68,,,170.32250000000002,34.7115836134931
2023-02-12 05:00:00+01:00,150.13,1609.0,0,1220.0,0.0,1220.0,0.7582349285270354,5,6,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,154.76,,,170.12958333333333,34.814549242368145
2023-02-12 06:00:00+01:00,150.2,1520.0,0,1299.0,0.0,1299.0,0.8546052631578948,6,6,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,162.48,,,169.61791666666667,35.02148669393725
