,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 02:00:00+02:00,63.44,1147.0,0,631.0,0.0,631.0,0.5501307759372276,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+02:00,45.01,1129.0,0,663.0,0.0,663.0,0.587245349867139,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+02:00,57.93,1132.0,0,683.0,0.0,683.0,0.6033568904593639,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+02:00,73.62,1153.0,0,693.0,0.0,693.0,0.601040763226366,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+02:00,67.53,1228.0,0,696.0,0.0,696.0,0.5667752442996743,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+02:00,59.99,1313.0,0,698.0,0.0,698.0,0.5316070068545317,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+02:00,64.29,1418.0,0,695.0,1.0,695.0,0.4908321579689704,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+02:00,103.03,1515.0,0,687.0,4.0,687.0,0.4561056105610561,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+02:00,111.86,1566.0,0,675.0,7.0,675.0,0.4355044699872286,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+02:00,106.83,1577.0,0,654.0,10.0,654.0,0.42105263157894735,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+02:00,78.99,1562.0,0,620.0,12.0,620.0,0.4046094750320102,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+02:00,66.55,1556.0,0,583.0,13.0,583.0,0.38303341902313626,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
