,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-04-27 00:00:00+02:00,106.38,299.0,0,72.0,0.0,72.0,0.2408026755852843,0,3,4,0,0.0,1.0,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 01:00:00+02:00,101.88,263.0,0,71.0,0.0,71.0,0.26996197718631176,1,3,4,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 02:00:00+02:00,100.18,236.0,0,70.0,0.0,70.0,0.2966101694915254,2,3,4,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 03:00:00+02:00,100.48,227.0,0,67.0,0.0,67.0,0.29515418502202645,3,3,4,0,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 04:00:00+02:00,100.58,223.0,0,66.0,0.0,66.0,0.29596412556053814,4,3,4,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 05:00:00+02:00,103.48,233.0,0,64.0,0.0,64.0,0.27467811158798283,5,3,4,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 06:00:00+02:00,122.28,271.0,0,63.0,0.0,63.0,0.23247232472324722,6,3,4,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 07:00:00+02:00,133.58,327.0,0,60.0,0.0,60.0,0.1834862385321101,7,3,4,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 08:00:00+02:00,124.36,351.0,0,58.0,0.0,58.0,0.16524216524216523,8,3,4,0,0.8660254037844387,-0.49999999999999983,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 09:00:00+02:00,110.96,362.0,0,59.0,1.0,59.0,0.16574585635359115,9,3,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 10:00:00+02:00,100.44,358.0,0,56.0,1.0,56.0,0.15921787709497207,10,3,4,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 11:00:00+02:00,99.94,350.0,0,51.0,1.0,51.0,0.14857142857142858,11,3,4,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 12:00:00+02:00,92.88,340.0,0,45.0,1.0,45.0,0.13529411764705881,12,3,4,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 13:00:00+02:00,95.58,334.0,0,42.0,1.0,42.0,0.12874251497005987,13,3,4,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 14:00:00+02:00,97.07,326.0,0,45.0,1.0,45.0,0.1411042944785276,14,3,4,0,-0.4999999999999998,-0.8660254037844388,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 15:00:00+02:00,98.58,320.0,0,51.0,0.0,51.0,0.159375,15,3,4,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 16:00:00+02:00,101.58,316.0,0,56.0,0.0,56.0,0.17721518987341772,16,3,4,0,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 17:00:00+02:00,114.58,319.0,0,57.0,0.0,57.0,0.1786833855799373,17,3,4,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 18:00:00+02:00,124.48,329.0,0,54.0,0.0,54.0,0.1641337386018237,18,3,4,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 19:00:00+02:00,145.98,351.0,0,49.0,0.0,49.0,0.1396011396011396,19,3,4,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 20:00:00+02:00,145.46,377.0,0,45.0,0.0,45.0,0.11936339522546419,20,3,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 21:00:00+02:00,135.98,372.0,0,42.0,0.0,42.0,0.11290322580645161,21,3,4,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 22:00:00+02:00,125.17,352.0,0,38.0,0.0,38.0,0.10795454545454546,22,3,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,,,,,
2023-04-27 23:00:00+02:00,111.28,333.0,0,34.0,0.0,34.0,0.1021021021021021,23,3,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.49999999999999983,,,,112.21499999999999,16.07728237904815
2023-04-28 00:00:00+02:00,96.95,302.0,0,48.0,0.0,48.0,0.15894039735099338,0,4,4,0,0.0,1.0,0.8660254037844387,-0.49999999999999983,106.38,,,111.82208333333334,16.339183359712894
2023-04-28 01:00:00+02:00,90.0,265.0,0,47.0,0.0,47.0,0.17735849056603772,1,4,4,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.49999999999999983,101.88,,,111.32708333333335,16.826173576013797
2023-04-28 02:00:00+02:00,89.28,237.0,0,48.0,0.0,48.0,0.20253164556962025,2,4,4,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,100.18,,,110.87291666666665,17.281088804054654
2023-04-28 03:00:00+02:00,89.91,228.0,0,50.0,0.0,50.0,0.21929824561403508,3,4,4,0,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,100.48,,,110.4325,17.68738760910674
2023-04-28 04:00:00+02:00,89.91,224.0,0,51.0,0.0,51.0,0.22767857142857142,4,4,4,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,100.58,,,109.98791666666666,18.075640821923532
2023-04-28 05:00:00+02:00,89.97,233.0,0,48.0,0.0,48.0,0.20600858369098712,5,4,4,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,103.48,,,109.425,18.492679162541474
2023-04-28 06:00:00+02:00,102.9,275.0,0,44.0,0.0,44.0,0.16,6,4,4,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,122.28,,,108.61749999999999,18.329349771431563
2023-04-28 07:00:00+02:00,114.14,329.0,0,39.0,0.0,39.0,0.11854103343465046,7,4,4,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,133.58,,,107.80749999999999,17.59300954307161
2023-04-28 08:00:00+02:00,116.4,353.0,0,31.0,1.0,31.0,0.0906515580736544,8,4,4,0,0.8660254037844387,-0.49999999999999983,0.8660254037844387,-0.49999999999999983,124.36,,,107.47583333333334,17.340612525329757
2023-04-28 09:00:00+02:00,106.67,360.0,0,27.0,1.0,27.0,0.07777777777777778,9,4,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.49999999999999983,110.96,,,107.29708333333333,17.325239813677886
2023-04-28 10:00:00+02:00,90.0,353.0,0,21.0,1.0,21.0,0.06232294617563739,10,4,4,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,100.44,,,106.86208333333333,17.6332179063234
2023-04-28 11:00:00+02:00,79.87,345.0,0,15.0,1.0,15.0,0.0463768115942029,11,4,4,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.49999999999999983,99.94,,,106.02583333333332,18.433514354275353
2023-04-28 12:00:00+02:00,74.19,334.0,0,8.0,1.0,8.0,0.02694610778443114,12,4,4,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,92.88,,,105.24708333333332,19.38334661264141
2023-04-28 13:00:00+02:00,71.17,326.0,0,5.0,1.0,5.0,0.018404907975460124,13,4,4,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.49999999999999983,95.58,,,104.23,20.51976035964825
2023-04-28 14:00:00+02:00,81.08,317.0,0,8.0,1.0,8.0,0.028391167192429023,14,4,4,0,-0.4999999999999998,-0.8660254037844388,0.8660254037844387,-0.49999999999999983,97.07,,,103.56374999999998,21.015932426634556
2023-04-28 15:00:00+02:00,82.78,311.0,0,12.0,1.0,12.0,0.04180064308681672,15,4,4,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.49999999999999983,98.58,,,102.90541666666667,21.422378989224594
2023-04-28 16:00:00+02:00,89.93,308.0,0,17.0,0.0,17.0,0.05519480519480519,16,4,4,0,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,101.58,,,102.42,21.585090466217252
2023-04-28 17:00:00+02:00,90.63,310.0,0,19.0,0.0,19.0,0.06129032258064516,17,4,4,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,114.58,,,101.42208333333333,21.552069804599263
2023-04-28 18:00:00+02:00,111.44,319.0,0,18.0,0.0,18.0,0.05642633228840126,18,4,4,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.49999999999999983,124.48,,,100.87875000000001,21.105238853545767
2023-04-28 19:00:00+02:00,127.7,348.0,0,17.0,0.0,17.0,0.04885057471264368,19,4,4,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.49999999999999983,145.98,,,100.11708333333333,19.68915933885993
2023-04-28 20:00:00+02:00,119.97,375.0,0,13.0,0.0,13.0,0.034666666666666665,20,4,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,145.46,,,99.055,17.72658847975085
2023-04-28 21:00:00+02:00,114.32,370.0,0,8.0,0.0,8.0,0.021621621621621623,21,4,4,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,135.98,,,98.15249999999999,16.25523467526159
2023-04-28 22:00:00+02:00,105.47,353.0,0,3.0,0.0,3.0,0.0084985835694051,22,4,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,125.17,,,97.33166666666666,15.301010386264709
2023-04-28 23:00:00+02:00,100.74,334.0,0,2.0,0.0,2.0,0.005988023952095809,23,4,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.49999999999999983,111.28,,,96.8925,15.032158354095712
2023-04-29 00:00:00+02:00,104.68,302.0,0,,,,,0,5,4,1,0.0,1.0,0.8660254037844387,-0.49999999999999983,96.95,106.38,,97.21458333333332,15.116022590260844
2023-04-29 01:00:00+02:00,99.44,262.0,0,,,,,1,5,4,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.49999999999999983,90.0,101.88,,97.60791666666665,15.042771477752522
2023-04-29 02:00:00+02:00,97.31,235.0,0,,,,,2,5,4,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,89.28,100.18,,97.9425,14.938427613548157
2023-04-29 03:00:00+02:00,95.7,224.0,0,,,,,3,5,4,1,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,89.91,100.48,,98.18374999999999,14.849554469235207
2023-04-29 04:00:00+02:00,93.75,218.0,0,,,,,4,5,4,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,89.91,100.58,,98.34375,14.777041479650284
2023-04-29 05:00:00+02:00,93.49,225.0,0,,,,,5,5,4,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,89.97,103.48,,98.49041666666666,14.70762135444742
2023-04-29 06:00:00+02:00,104.45,248.0,0,,,,,6,5,4,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,102.9,122.28,,98.555,14.73121058220919
2023-04-29 07:00:00+02:00,117.12,289.0,0,,,,,7,5,4,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,114.14,133.58,,98.67916666666667,14.880091723848535
2023-04-29 08:00:00+02:00,117.18,320.0,0,,,,,8,5,4,1,0.8660254037844387,-0.49999999999999983,0.8660254037844387,-0.49999999999999983,116.4,124.36,,98.71166666666666,14.921273889743944
2023-04-29 09:00:00+02:00,109.15,340.0,0,,,,,9,5,4,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.49999999999999983,106.67,110.96,,98.815,14.987224994757335
2023-04-29 10:00:00+02:00,97.69,342.0,0,,,,,10,5,4,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,90.0,100.44,,99.13541666666667,14.87233556090746
2023-04-29 11:00:00+02:00,97.16,337.0,0,,,,,11,5,4,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.49999999999999983,79.87,99.94,,99.85583333333334,14.306545147518033
2023-04-29 12:00:00+02:00,88.46,330.0,0,,,,,12,5,4,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,74.19,92.88,,100.45041666666667,13.465288217315033
2023-04-29 13:00:00+02:00,77.96,323.0,0,,,,,13,5,4,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.49999999999999983,71.17,95.58,,100.73333333333333,12.882034563404742
2023-04-29 14:00:00+02:00,76.62,315.0,0,,,,,14,5,4,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844387,-0.49999999999999983,81.08,97.07,,100.5475,13.205972380773025
2023-04-29 15:00:00+02:00,76.83,309.0,0,,,,,15,5,4,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.49999999999999983,82.78,98.58,,100.29958333333333,13.603880354090395
2023-04-29 16:00:00+02:00,83.31,305.0,0,,,,,16,5,4,1,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,89.93,101.58,,100.02375,13.887434987911881
2023-04-29 17:00:00+02:00,97.88,307.0,0,,,,,17,5,4,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,90.63,114.58,,100.32583333333332,13.752410987569245
2023-04-29 18:00:00+02:00,115.34,317.0,0,,,,,18,5,4,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.49999999999999983,111.44,124.48,,100.48833333333333,13.91156749417291
2023-04-29 19:00:00+02:00,127.85,346.0,0,,,,,19,5,4,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.49999999999999983,127.7,145.98,,100.49458333333332,13.92435213672568
2023-04-29 20:00:00+02:00,139.52,369.0,0,,,,,20,5,4,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,119.97,145.46,,101.30916666666666,15.585919765209146
2023-04-29 21:00:00+02:00,123.66,365.0,0,,,,,21,5,4,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,114.32,135.98,,101.69833333333334,16.035048207426556
2023-04-29 22:00:00+02:00,118.91,348.0,0,,,,,22,5,4,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,105.47,125.17,,102.25833333333333,16.402960142891168
2023-04-29 23:00:00+02:00,107.71,330.0,0,,,,,23,5,4,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.49999999999999983,100.74,111.28,,102.54875,16.43657700334706
2023-04-30 00:00:00+02:00,111.5,296.0,0,3.0,0.0,3.0,0.010135135135135136,0,6,4,1,0.0,1.0,0.8660254037844387,-0.49999999999999983,104.68,96.95,,102.83291666666666,16.533692998440113
2023-04-30 01:00:00+02:00,94.68,257.0,0,4.0,0.0,4.0,0.01556420233463035,1,6,4,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.49999999999999983,99.44,90.0,,102.63458333333334,16.60456091852785
2023-04-30 02:00:00+02:00,92.28,232.0,0,5.0,0.0,5.0,0.021551724137931036,2,6,4,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,97.31,89.28,,102.42500000000001,16.706123844657814
2023-04-30 03:00:00+02:00,90.45,219.0,0,7.0,0.0,7.0,0.0319634703196347,3,6,4,1,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,95.7,89.91,,102.20625,16.83190779765314
2023-04-30 04:00:00+02:00,90.1,214.0,0,9.0,0.0,9.0,0.04205607476635514,4,6,4,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,93.75,89.91,,102.05416666666667,16.927851738857903
2023-04-30 05:00:00+02:00,86.29,219.0,0,11.0,0.0,11.0,0.0502283105022831,5,6,4,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,93.49,89.97,,101.75416666666668,17.14858820825297
2023-04-30 06:00:00+02:00,89.28,234.0,0,12.0,0.0,12.0,0.05128205128205128,6,6,4,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,104.45,102.9,,101.12208333333332,17.323585827010465
2023-04-30 07:00:00+02:00,90.9,272.0,0,13.0,0.0,13.0,0.04779411764705882,7,6,4,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,117.12,114.14,,100.02958333333333,17.09610265252867
2023-04-30 08:00:00+02:00,90.15,306.0,0,14.0,1.0,14.0,0.049019607843137254,8,6,4,1,0.8660254037844387,-0.49999999999999983,0.8660254037844387,-0.49999999999999983,117.18,116.4,,98.90333333333335,16.805009001373147
2023-04-30 09:00:00+02:00,76.97,333.0,0,14.0,1.0,14.0,0.04504504504504504,9,6,4,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.49999999999999983,109.15,106.67,,97.5625,17.230307537188285
2023-04-30 10:00:00+02:00,68.25,339.0,0,13.0,1.0,13.0,0.04129793510324484,10,6,4,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,97.69,90.0,,96.33583333333333,18.239247914668905
2023-04-30 11:00:00+02:00,72.06,334.0,0,11.0,1.0,11.0,0.03592814371257485,11,6,4,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.49999999999999983,97.16,79.87,,95.29,18.897665142183232
2023-04-30 12:00:00+02:00,62.87,323.0,0,8.0,2.0,8.0,0.030959752321981424,12,6,4,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,88.46,74.19,,94.22375000000001,19.990130567574987
