,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 01:00:00+01:00,119.9,11291.0,1353.0,3040.0,0.0,4393.0,0.38907094145779825,1,5,2,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 02:00:00+01:00,118.24,11023.0,1264.0,2838.0,0.0,4102.0,0.37213099882064776,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+01:00,118.28,10949.0,1175.0,2622.0,0.0,3797.0,0.34678966115626997,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+01:00,111.95,10946.0,1076.0,2394.0,0.0,3470.0,0.31701078019367807,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+01:00,102.74,10998.0,1047.0,2293.0,0.0,3340.0,0.30369158028732496,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+01:00,119.98,11145.0,1032.0,2204.0,0.0,3236.0,0.29035441902198295,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+01:00,127.3,11431.0,1008.0,2097.0,0.0,3105.0,0.2716297786720322,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+01:00,150.1,11987.0,1005.0,2031.0,0.0,3036.0,0.25327438057896057,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+01:00,149.94,12662.0,1011.0,1994.0,96.0,3005.0,0.24490601800663403,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+01:00,130.1,12545.0,997.0,1978.0,759.0,2975.0,0.29764846552411317,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+01:00,130.6,11849.0,867.0,1828.0,1267.0,2695.0,0.33437420879399105,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+01:00,134.3,10819.0,735.0,1695.0,1583.0,2430.0,0.3709215269433404,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 13:00:00+01:00,122.0,10225.0,635.0,1576.0,1743.0,2211.0,0.3866992665036675,13,5,2,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 14:00:00+01:00,140.0,10430.0,539.0,1355.0,2202.0,1894.0,0.39271332694151484,14,5,2,1,-0.4999999999999998,-0.8660254037844388,0.8660254037844386,0.5000000000000001,,,,,
