,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-02-11 02:00:00+02:00,135.72,6030.0,0,530.0,0.0,530.0,0.087893864013267,2,5,2,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 03:00:00+02:00,133.35,5940.0,0,466.0,0.0,466.0,0.07845117845117845,3,5,2,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 04:00:00+02:00,131.01,5930.0,0,380.0,0.0,380.0,0.06408094435075885,4,5,2,1,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 05:00:00+02:00,130.44,5970.0,0,300.0,0.0,300.0,0.05025125628140704,5,5,2,1,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 06:00:00+02:00,145.47,6120.0,0,269.0,1.0,269.0,0.04411764705882353,6,5,2,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 07:00:00+02:00,145.47,6410.0,0,232.0,8.0,232.0,0.0374414976599064,7,5,2,1,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 08:00:00+02:00,154.59,6830.0,0,185.0,127.0,185.0,0.04568081991215227,8,5,2,1,0.8660254037844387,-0.49999999999999983,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 09:00:00+02:00,155.39,7210.0,0,131.0,354.0,131.0,0.06726768377253814,9,5,2,1,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 10:00:00+02:00,149.81,7350.0,0,103.0,534.0,103.0,0.08666666666666667,10,5,2,1,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 11:00:00+02:00,145.49,7290.0,0,87.0,629.0,87.0,0.0982167352537723,11,5,2,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,,,,,
2023-02-11 12:00:00+02:00,145.49,7210.0,0,108.0,663.0,108.0,0.10693481276005548,12,5,2,1,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,,,,,
