,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-08-06 22:00:00+00:00,54.91,35550.0,99.0,4408.0,0.0,4507.0,0.12677918424753867,22,6,8,1,-0.5000000000000004,0.8660254037844384,-0.8660254037844384,-0.5000000000000004,74.13,101.55,61.03,23.357916666666668,28.263497272625603
2023-08-06 23:00:00+00:00,50.35,33000.0,143.0,4167.0,0.0,4310.0,0.13060606060606061,23,6,8,1,-0.25881904510252157,0.9659258262890681,-0.8660254037844384,-0.5000000000000004,21.93,94.9,50.51,24.542083333333334,28.791500101240203
2023-08-07 00:00:00+00:00,41.98,31950.0,174.0,3931.0,0.0,4105.0,0.12848200312989044,0,0,8,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,20.22,92.58,44.09,25.44875,28.99140237058304
2023-08-07 01:00:00+00:00,7.18,30150.0,118.0,3654.0,0.0,3772.0,0.1251077943615257,1,0,8,0,0.25881904510252074,0.9659258262890683,-0.8660254037844384,-0.5000000000000004,0.02,90.3,30.3,25.747083333333332,28.754222597909845
2023-08-07 02:00:00+00:00,22.54,29450.0,101.0,3378.0,0.0,3479.0,0.11813242784380305,2,0,8,0,0.49999999999999994,0.8660254037844387,-0.8660254037844384,-0.5000000000000004,3.21,90.24,28.91,26.5525,28.36357036610602
2023-08-07 03:00:00+00:00,65.03,30250.0,58.0,3102.0,0.0,3160.0,0.10446280991735538,3,0,8,0,0.7071067811865475,0.7071067811865476,-0.8660254037844384,-0.5000000000000004,0.07,90.54,50.31,29.25916666666667,28.822310940849597
2023-08-07 04:00:00+00:00,72.22,32050.0,19.0,2886.0,0.0,2905.0,0.0906396255850234,4,0,8,0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.1,90.24,71.63,32.26416666666666,29.40374464715958
2023-08-07 05:00:00+00:00,91.31,33850.0,42.0,2672.0,206.0,2714.0,0.0862629246676514,5,0,8,0,0.9659258262890683,0.25881904510252074,-0.8660254037844384,-0.5000000000000004,27.8,86.41,84.46,34.91041666666667,31.7488533828104
2023-08-07 06:00:00+00:00,94.5,36550.0,11.0,2460.0,1837.0,2471.0,0.11786593707250342,6,0,8,0,1.0,6.123233995736766e-17,-0.8660254037844384,-0.5000000000000004,5.0,85.66,87.63,38.639583333333334,33.301186749863405
2023-08-07 07:00:00+00:00,77.62,38550.0,33.0,2382.0,4706.0,2415.0,0.18472114137483786,7,0,8,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844384,-0.5000000000000004,1.64,83.01,86.0,41.805416666666666,33.242358779276586
2023-08-07 08:00:00+00:00,57.5,40000.0,6.0,2302.0,7860.0,2308.0,0.2542,8,0,8,0,0.8660254037844387,-0.49999999999999983,-0.8660254037844384,-0.5000000000000004,2.4,80.1,74.29,44.10125,32.2916628508647
2023-08-07 09:00:00+00:00,52.3,40600.0,3.0,2222.0,10288.0,2225.0,0.30820197044334974,9,0,8,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844384,-0.5000000000000004,14.6,68.08,67.69,45.672083333333326,31.70582143490877
2023-08-07 10:00:00+00:00,59.13,42100.0,2.0,2385.0,11879.0,2387.0,0.3388598574821853,10,0,8,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004,5.04,65.01,65.58,47.92583333333334,30.594972294645835
2023-08-07 11:00:00+00:00,52.71,42850.0,1.0,2549.0,12460.0,2550.0,0.350291715285881,11,0,8,0,0.258819045102521,-0.9659258262890682,-0.8660254037844384,-0.5000000000000004,0.0,58.91,59.94,50.12208333333333,28.847004211750566
2023-08-07 12:00:00+00:00,55.2,41500.0,3.0,2715.0,12369.0,2718.0,0.3635421686746988,12,0,8,0,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.0,58.04,59.48,52.422083333333326,26.80529149240415
2023-08-07 13:00:00+00:00,54.23,40500.0,4.0,2785.0,11686.0,2789.0,0.3574074074074074,13,0,8,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844384,-0.5000000000000004,0.0,44.15,60.44,54.681666666666665,24.369172019737086
2023-08-07 14:00:00+00:00,57.61,39450.0,5.0,2855.0,10604.0,2860.0,0.34129277566539923,14,0,8,0,-0.4999999999999998,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,0.0,37.08,67.78,57.08208333333334,21.405914456801053
2023-08-07 15:00:00+00:00,70.95,38800.0,10.0,2924.0,8710.0,2934.0,0.30010309278350517,15,0,8,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844384,-0.5000000000000004,16.2,42.03,74.45,59.36333333333332,19.709828637700944
2023-08-07 16:00:00+00:00,85.1,39600.0,17.0,2687.0,6318.0,2704.0,0.22782828282828282,16,0,8,0,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004,35.97,45.0,78.3,61.41041666666667,19.725875409938226
2023-08-07 17:00:00+00:00,107.02,40950.0,9.0,2450.0,3422.0,2459.0,0.14361416361416363,17,0,8,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844384,-0.5000000000000004,60.98,66.01,88.56,63.32875000000001,21.81070983684291
2023-08-07 18:00:00+00:00,116.3,39900.0,29.0,2215.0,1091.0,2244.0,0.08358395989974937,18,0,8,0,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,77.06,82.99,96.96,64.96374999999999,24.222259940609053
2023-08-07 19:00:00+00:00,124.95,38600.0,32.0,2170.0,24.0,2202.0,0.05766839378238342,19,0,8,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844384,-0.5000000000000004,78.13,90.0,92.58,66.91458333333334,27.049208937909178
2023-08-07 20:00:00+00:00,110.8,38850.0,17.0,2124.0,0.0,2141.0,0.05510939510939511,20,0,8,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,71.86,91.39,95.26,68.53708333333334,28.488339106312093
2023-08-07 21:00:00+00:00,100.0,40250.0,39.0,2078.0,0.0,2117.0,0.05259627329192547,21,0,8,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844384,-0.5000000000000004,63.45,85.66,88.21,70.06,29.173275292711764
2023-08-07 22:00:00+00:00,69.88,37450.0,43.0,1996.0,0.0,2039.0,0.05444592790387183,22,0,8,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844384,-0.5000000000000004,54.91,74.13,69.05,70.68374999999999,28.994761267826636
2023-08-07 23:00:00+00:00,55.87,34850.0,36.0,2060.0,0.0,2096.0,0.06014347202295552,23,0,8,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844384,-0.5000000000000004,50.35,21.93,58.92,70.91375000000001,28.84797360263385
2023-08-08 00:00:00+00:00,65.55,34100.0,31.0,2128.0,0.0,2159.0,0.06331378299120234,0,1,8,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,41.98,20.22,57.86,71.89583333333333,28.21438777532184
2023-08-08 01:00:00+00:00,38.9,32250.0,18.0,2070.0,0.0,2088.0,0.06474418604651162,1,1,8,0,0.25881904510252074,0.9659258262890683,-0.8660254037844384,-0.5000000000000004,7.18,0.02,56.94,73.2175,25.680182894174628
2023-08-08 02:00:00+00:00,41.09,30900.0,17.0,2015.0,0.0,2032.0,0.06576051779935276,2,1,8,0,0.49999999999999994,0.8660254037844387,-0.8660254037844384,-0.5000000000000004,22.54,3.21,57.9,73.99041666666666,24.332373225301318
