,price,load_forecast,wind_offshore,wind_onshore,solar,total_wind_forecast,renewable_ratio,hour,day_of_week,month,weekend,hour_sin,hour_cos,month_sin,month_cos,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h
2023-01-21 20:00:00+00:00,147.74,10070.75,185.5,601.0,0.0,786.5,0.0780974604671946,20,5,1,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,155.3,148.41,99.37,150.06791666666666,14.098403233411954
2023-01-21 21:00:00+00:00,143.86,9706.25,165.5,672.25,0.0,837.75,0.08631036703155183,21,5,1,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,153.65,149.34,93.42,149.66,14.13184470557915
2023-01-21 22:00:00+00:00,132.58,9469.0,171.75,643.0,0.0,814.75,0.08604393283345654,22,5,1,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,147.55,139.0,69.1,149.03625,14.553117942483084
2023-01-21 23:00:00+00:00,140.0,8673.5,164.5,974.25,0.0,1138.75,0.13129071309160084,23,5,1,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,152.2,149.9,60.01,148.52791666666667,14.650548878029568
2023-01-22 00:00:00+00:00,122.94,8479.0,167.75,1071.5,0.0,1239.25,0.14615520698195542,0,6,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,147.86,144.5,29.4,147.48958333333334,15.555101911302671
2023-01-22 01:00:00+00:00,127.0,8154.5,209.75,1168.5,0.0,1378.25,0.16901710711876877,1,6,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,142.22,142.44,27.93,146.85541666666668,16.080652695807657
2023-01-22 02:00:00+00:00,130.99,8100.0,315.75,1270.25,0.0,1586.0,0.19580246913580246,2,6,1,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,135.88,142.8,6.94,146.65166666666667,16.255788712537587
2023-01-22 03:00:00+00:00,122.12,7902.25,436.0,1359.75,0.0,1795.75,0.22724540478977506,3,6,1,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,132.91,144.98,2.93,146.20208333333335,16.792704932478067
2023-01-22 04:00:00+00:00,121.68,7851.25,532.25,1414.0,0.0,1946.25,0.24789046330202197,4,6,1,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,134.84,150.01,4.05,145.65375,17.384279708353144
2023-01-22 05:00:00+00:00,132.39,7890.25,630.0,1475.5,0.0,2105.5,0.2668483254649726,5,6,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,131.5,169.9,1.58,145.69083333333333,17.353697242115654
2023-01-22 06:00:00+00:00,127.6,8269.0,687.25,1494.25,0.0,2181.5,0.26381666465110654,6,6,1,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,140.77,208.07,1.81,145.14208333333335,17.720419560045865
2023-01-22 07:00:00+00:00,139.9,8594.5,697.0,1391.5,11.25,2088.5,0.24431322357321542,7,6,1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,155.26,235.06,11.2,144.50208333333333,17.616175861768408
2023-01-22 08:00:00+00:00,150.71,8869.0,689.25,1324.25,368.25,2013.5,0.26854775059194946,8,6,1,1,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387,171.84,221.7,37.4,143.62166666666667,16.694382462286526
