,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
2023-01-14 21:00:00+01:00,331.0,2440.0,39.0,,200.0,,1719.0,5037.0,622.0,,37311.0,0.0,140.0,,,11045.0
2023-01-14 22:00:00+01:00,331.0,2338.0,39.0,,200.0,,1918.0,4956.0,691.0,,36907.0,0.0,144.0,,,11038.0
2023-01-14 23:00:00+01:00,321.0,2345.0,39.0,,200.0,,1993.0,4906.0,621.0,,36539.0,0.0,146.0,,,10250.0
2023-01-15 00:00:00+01:00,326.0,2346.0,39.0,,200.0,,1943.0,4777.0,992.0,,34331.0,0.0,144.0,,,9152.0
2023-01-15 01:00:00+01:00,327.0,2351.0,39.0,,200.0,,2547.0,4633.0,968.0,,33158.0,0.0,145.0,,,8677.0
2023-01-15 02:00:00+01:00,322.0,2353.0,38.0,,200.0,,2378.0,4523.0,1066.0,,32541.0,0.0,144.0,,,8438.0
2023-01-15 03:00:00+01:00,316.0,2354.0,39.0,,201.0,,2725.0,4486.0,544.0,,32221.0,0.0,144.0,,,9129.0
2023-01-15 04:00:00+01:00,316.0,2359.0,39.0,,203.0,,3632.0,4401.0,44.0,,32231.0,0.0,145.0,,,9931.0
2023-01-15 05:00:00+01:00,315.0,2362.0,40.0,,203.0,,3618.0,4368.0,,10.0,31789.0,0.0,145.0,,,10519.0
2023-01-15 06:00:00+01:00,317.0,2364.0,41.0,,203.0,,3566.0,4586.0,14.0,,32112.0,0.0,141.0,,,10835.0
2023-01-15 07:00:00+01:00,319.0,2366.0,45.0,,203.0,,3249.0,4591.0,,36.0,32362.0,0.0,142.0,,,11699.0
2023-01-15 08:00:00+01:00,330.0,2367.0,47.0,,203.0,,3111.0,4759.0,150.0,,32661.0,289.0,141.0,,,12279.0
2023-01-15 09:00:00+01:00,331.0,2366.0,51.0,,203.0,,1922.0,4890.0,536.0,,33388.0,818.0,142.0,,,12903.0
2023-01-15 10:00:00+01:00,333.0,2364.0,55.0,,203.0,,674.0,5031.0,2001.0,,33756.0,2196.0,139.0,,,13319.0
2023-01-15 11:00:00+01:00,334.0,2414.0,57.0,,203.0,,534.0,4949.0,1101.0,,33930.0,3902.0,141.0,,,13845.0
2023-01-15 12:00:00+01:00,333.0,2445.0,57.0,,203.0,,1268.0,4979.0,1037.0,,34398.0,4774.0,139.0,,,14529.0
2023-01-15 13:00:00+01:00,333.0,2440.0,57.0,,203.0,,2266.0,4825.0,1041.0,,34231.0,4520.0,137.0,,,14765.0
2023-01-15 14:00:00+01:00,332.0,2458.0,57.0,,203.0,,2648.0,4592.0,501.0,,34631.0,3396.0,134.0,,,14677.0
2023-01-15 15:00:00+01:00,335.0,2457.0,56.0,,203.0,,2445.0,4520.0,516.0,,35372.0,2234.0,138.0,,,14177.0
2023-01-15 16:00:00+01:00,331.0,2587.0,55.0,,203.0,,2380.0,4629.0,1165.0,,36557.0,953.0,138.0,,,13520.0
2023-01-15 17:00:00+01:00,331.0,2737.0,53.0,,203.0,,592.0,5053.0,1442.0,,37964.0,257.0,138.0,,,13096.0
2023-01-15 18:00:00+01:00,329.0,2602.0,51.0,,200.0,660.0,,5549.0,1706.0,,39007.0,193.0,137.0,,,13142.0
2023-01-15 19:00:00+01:00,332.0,2632.0,50.0,,200.0,1421.0,,5717.0,2217.0,,40083.0,0.0,138.0,,,13075.0
2023-01-15 20:00:00+01:00,333.0,2815.0,48.0,,200.0,188.0,,5319.0,1319.0,,40016.0,0.0,136.0,,,13096.0
2023-01-15 21:00:00+01:00,332.0,2849.0,47.0,,200.0,,110.0,5132.0,925.0,,39772.0,0.0,138.0,,,12998.0
2023-01-15 22:00:00+01:00,332.0,2833.0,47.0,,200.0,,56.0,5066.0,765.0,,39982.0,0.0,141.0,,,12721.0
2023-01-15 23:00:00+01:00,333.0,2476.0,46.0,,200.0,345.0,,4914.0,771.0,,40459.0,0.0,140.0,,,12543.0
2023-01-16 00:00:00+01:00,332.0,2596.0,46.0,,200.0,,663.0,4677.0,645.0,,40939.0,0.0,140.0,,,12789.0
2023-01-16 01:00:00+01:00,333.0,2622.0,45.0,,200.0,,1785.0,4733.0,502.0,,41471.0,0.0,137.0,,,13342.0
2023-01-16 02:00:00+01:00,332.0,2793.0,44.0,,200.0,,1531.0,4768.0,484.0,,41249.0,0.0,132.0,,,13738.0
2023-01-16 03:00:00+01:00,331.0,2848.0,42.0,,200.0,,1957.0,4714.0,444.0,,40928.0,0.0,124.0,,,14291.0
2023-01-16 04:00:00+01:00,334.0,2890.0,42.0,,200.0,,1858.0,4777.0,364.0,,41250.0,0.0,125.0,,,14328.0
2023-01-16 05:00:00+01:00,326.0,3190.0,42.0,,200.0,,2108.0,4972.0,318.0,,42941.0,0.0,123.0,,,14455.0
2023-01-16 06:00:00+01:00,329.0,3667.0,44.0,,203.0,,203.0,5388.0,1746.0,,43484.0,0.0,118.0,,,14285.0
2023-01-16 07:00:00+01:00,332.0,4392.0,43.0,,204.0,1927.0,,5861.0,3578.0,,43615.0,0.0,115.0,,,13626.0
2023-01-16 08:00:00+01:00,331.0,5271.0,42.0,,204.0,3074.0,,6216.0,4065.0,,43628.0,280.0,116.0,,,12568.0
2023-01-16 09:00:00+01:00,331.0,5414.0,43.0,,204.0,2498.0,,6325.0,4697.0,,43196.0,705.0,114.0,,,11726.0
2023-01-16 10:00:00+01:00,333.0,5439.0,45.0,,203.0,2057.0,,6264.0,4492.0,,43212.0,1624.0,112.0,,,11482.0
2023-01-16 11:00:00+01:00,334.0,5725.0,47.0,,203.0,1194.0,,5917.0,3727.0,,43304.0,2405.0,110.0,,,11931.0
2023-01-16 12:00:00+01:00,336.0,5683.0,49.0,,204.0,698.0,,5725.0,2496.0,,43317.0,2851.0,111.0,,,12850.0
2023-01-16 13:00:00+01:00,333.0,5729.0,48.0,,204.0,318.0,,5597.0,2515.0,,43252.0,3074.0,113.0,,,12940.0
2023-01-16 14:00:00+01:00,332.0,5775.0,47.0,,204.0,269.0,,5457.0,2171.0,,43263.0,2498.0,115.0,,,13428.0
2023-01-16 15:00:00+01:00,332.0,5824.0,46.0,,204.0,183.0,,5525.0,1821.0,,43294.0,1712.0,113.0,,,13596.0
2023-01-16 16:00:00+01:00,332.0,5662.0,47.0,,204.0,415.0,,5668.0,2114.0,,43286.0,617.0,112.0,,,12602.0
2023-01-16 17:00:00+01:00,333.0,5881.0,48.0,,204.0,822.0,,6234.0,2611.0,,43290.0,233.0,108.0,,,11030.0
2023-01-16 18:00:00+01:00,333.0,6240.0,47.0,,204.0,1629.0,,6576.0,3305.0,,43147.0,199.0,110.0,,,9551.0
2023-01-16 19:00:00+01:00,334.0,6657.0,46.0,,204.0,1826.0,,6614.0,3523.0,,43168.0,0.0,113.0,,,7946.0
2023-01-16 20:00:00+01:00,331.0,6338.0,45.0,,203.0,1221.0,,6248.0,3085.0,,43347.0,0.0,115.0,,,6386.0
2023-01-16 21:00:00+01:00,325.0,5881.0,44.0,,203.0,,88.0,5730.0,1567.0,,43357.0,0.0,116.0,,,5325.0
2023-01-16 22:00:00+01:00,308.0,5862.0,43.0,,203.0,,560.0,5632.0,1289.0,,43319.0,0.0,117.0,,,4055.0
2023-01-16 23:00:00+01:00,305.0,5947.0,43.0,,203.0,,26.0,5323.0,1264.0,,43294.0,0.0,121.0,,,3305.0
2023-01-17 00:00:00+01:00,304.0,6474.0,37.0,,203.0,,1192.0,5190.0,920.0,,43207.0,0.0,121.0,,,2831.0
2023-01-17 01:00:00+01:00,305.0,6794.0,36.0,,203.0,,2576.0,5168.0,890.0,,43193.0,0.0,122.0,,,2540.0
2023-01-17 02:00:00+01:00,303.0,7496.0,37.0,,203.0,,2839.0,5175.0,1003.0,,43310.0,0.0,121.0,,,2088.0
