,Solar,Wind Offshore,Wind Onshore
2023-01-14 21:00:00+01:00,0.0,,11772.0
2023-01-14 22:00:00+01:00,0.0,,10762.0
2023-01-14 23:00:00+01:00,0.0,,10399.0
2023-01-15 00:00:00+01:00,0.0,,11333.0
2023-01-15 01:00:00+01:00,0.0,,10831.0
2023-01-15 02:00:00+01:00,0.0,,10670.0
2023-01-15 03:00:00+01:00,0.0,,10504.0
2023-01-15 04:00:00+01:00,0.0,,10338.0
2023-01-15 05:00:00+01:00,0.0,,10823.0
2023-01-15 06:00:00+01:00,0.0,,11303.0
2023-01-15 07:00:00+01:00,0.0,,11781.0
2023-01-15 08:00:00+01:00,0.0,,12699.0
2023-01-15 09:00:00+01:00,327.0,,13616.0
2023-01-15 10:00:00+01:00,1630.0,,14534.0
2023-01-15 11:00:00+01:00,3174.0,,15206.0
2023-01-15 12:00:00+01:00,4061.0,,15875.0
2023-01-15 13:00:00+01:00,4215.0,,16542.0
2023-01-15 14:00:00+01:00,3535.0,,16188.0
2023-01-15 15:00:00+01:00,2467.0,,15835.0
2023-01-15 16:00:00+01:00,1052.0,,15483.0
2023-01-15 17:00:00+01:00,112.0,,14760.0
2023-01-15 18:00:00+01:00,0.0,,14036.0
2023-01-15 19:00:00+01:00,0.0,,13310.0
2023-01-15 20:00:00+01:00,0.0,,12815.0
2023-01-15 21:00:00+01:00,0.0,,12321.0
2023-01-15 22:00:00+01:00,0.0,,11825.0
2023-01-15 23:00:00+01:00,0.0,,11857.0
2023-01-16 00:00:00+01:00,0.0,,13008.0
2023-01-16 01:00:00+01:00,0.0,,12933.0
2023-01-16 02:00:00+01:00,0.0,,13884.0
2023-01-16 03:00:00+01:00,0.0,,14832.0
2023-01-16 04:00:00+01:00,0.0,,15777.0
2023-01-16 05:00:00+01:00,0.0,,15679.0
2023-01-16 06:00:00+01:00,0.0,,15578.0
2023-01-16 07:00:00+01:00,0.0,,15474.0
2023-01-16 08:00:00+01:00,0.0,,14942.0
