,Solar,Wind Offshore,Wind Onshore
2023-01-14 21:00:00+01:00,0.0,1599.0,4669.0
2023-01-14 21:15:00+01:00,0.0,1599.0,4679.0
2023-01-14 21:30:00+01:00,0.0,1599.0,4684.0
2023-01-14 21:45:00+01:00,0.0,1599.0,4690.0
2023-01-14 22:00:00+01:00,0.0,1599.0,4695.0
2023-01-14 22:15:00+01:00,0.0,1598.0,4699.0
2023-01-14 22:30:00+01:00,0.0,1596.0,4700.0
2023-01-14 22:45:00+01:00,0.0,1594.0,4702.0
2023-01-14 23:00:00+01:00,0.0,1592.0,4705.0
2023-01-14 23:15:00+01:00,0.0,1591.0,4695.0
2023-01-14 23:30:00+01:00,0.0,1591.0,4676.0
2023-01-14 23:45:00+01:00,0.0,1590.0,4656.0
2023-01-15 00:00:00+01:00,0.0,1596.0,4732.0
2023-01-15 00:15:00+01:00,0.0,1596.0,4718.0
2023-01-15 00:30:00+01:00,0.0,1596.0,4709.0
2023-01-15 00:45:00+01:00,0.0,1596.0,4703.0
2023-01-15 01:00:00+01:00,0.0,1596.0,4697.0
2023-01-15 01:15:00+01:00,0.0,1596.0,4706.0
2023-01-15 01:30:00+01:00,0.0,1594.0,4731.0
2023-01-15 01:45:00+01:00,0.0,1592.0,4755.0
2023-01-15 02:00:00+01:00,0.0,1590.0,4780.0
2023-01-15 02:15:00+01:00,0.0,1591.0,4806.0
2023-01-15 02:30:00+01:00,0.0,1593.0,4833.0
2023-01-15 02:45:00+01:00,0.0,1596.0,4862.0
2023-01-15 03:00:00+01:00,0.0,1599.0,4889.0
2023-01-15 03:15:00+01:00,0.0,1602.0,4915.0
2023-01-15 03:30:00+01:00,0.0,1607.0,4938.0
2023-01-15 03:45:00+01:00,0.0,1611.0,4960.0
2023-01-15 04:00:00+01:00,0.0,1615.0,4985.0
2023-01-15 04:15:00+01:00,0.0,1620.0,5017.0
2023-01-15 04:30:00+01:00,0.0,1623.0,5055.0
2023-01-15 04:45:00+01:00,0.0,1627.0,5091.0
2023-01-15 05:00:00+01:00,0.0,1631.0,5128.0
2023-01-15 05:15:00+01:00,0.0,1635.0,5132.0
2023-01-15 05:30:00+01:00,0.0,1638.0,5103.0
2023-01-15 05:45:00+01:00,0.0,1641.0,5072.0
2023-01-15 06:00:00+01:00,0.0,1644.0,5043.0
2023-01-15 06:15:00+01:00,0.0,1646.0,5032.0
2023-01-15 06:30:00+01:00,0.0,1648.0,5036.0
2023-01-15 06:45:00+01:00,0.0,1650.0,5040.0
2023-01-15 07:00:00+01:00,0.0,1652.0,5047.0
2023-01-15 07:15:00+01:00,0.0,1654.0,5063.0
2023-01-15 07:30:00+01:00,0.0,1655.0,5094.0
2023-01-15 07:45:00+01:00,0.0,1657.0,5122.0
2023-01-15 08:00:00+01:00,0.0,1658.0,5150.0
2023-01-15 08:15:00+01:00,3.0,1659.0,5176.0
2023-01-15 08:30:00+01:00,7.0,1658.0,5196.0
2023-01-15 08:45:00+01:00,11.0,1657.0,5216.0
2023-01-15 09:00:00+01:00,14.0,1657.0,5238.0
2023-01-15 09:15:00+01:00,198.0,1656.0,5254.0
2023-01-15 09:30:00+01:00,381.0,1655.0,5263.0
2023-01-15 09:45:00+01:00,565.0,1654.0,5273.0
2023-01-15 10:00:00+01:00,749.0,1653.0,5282.0
2023-01-15 10:15:00+01:00,1093.0,1652.0,5289.0
2023-01-15 10:30:00+01:00,1435.0,1650.0,5297.0
2023-01-15 10:45:00+01:00,1778.0,1648.0,5302.0
2023-01-15 11:00:00+01:00,2121.0,1646.0,5311.0
2023-01-15 11:15:00+01:00,2254.0,1645.0,5315.0
2023-01-15 11:30:00+01:00,2386.0,1644.0,5318.0
2023-01-15 11:45:00+01:00,2520.0,1643.0,5322.0
2023-01-15 12:00:00+01:00,2652.0,1641.0,5326.0
2023-01-15 12:15:00+01:00,2713.0,1641.0,5327.0
2023-01-15 12:30:00+01:00,2777.0,1640.0,5329.0
2023-01-15 12:45:00+01:00,2838.0,1640.0,5330.0
2023-01-15 13:00:00+01:00,2900.0,1639.0,5332.0
2023-01-15 13:15:00+01:00,2548.0,1639.0,5326.0
2023-01-15 13:30:00+01:00,2191.0,1640.0,5317.0
2023-01-15 13:45:00+01:00,1836.0,1640.0,5304.0
2023-01-15 14:00:00+01:00,1480.0,1641.0,5296.0
2023-01-15 14:15:00+01:00,1426.0,1640.0,5288.0
2023-01-15 14:30:00+01:00,1373.0,1638.0,5285.0
2023-01-15 14:45:00+01:00,1319.0,1635.0,5282.0
2023-01-15 15:00:00+01:00,1265.0,1633.0,5276.0
